+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[961]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[968]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[966]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[990]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[994]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[961]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[995]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[993]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[968]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[988]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[966]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[992]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[998]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[981]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[985]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[959]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[983]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[987]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[959]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[957]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[964]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[986]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[962]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[990]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[991]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[989]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[957]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[984]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[964]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[988]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[962]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[996]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[994]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[977]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[981]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[979]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[955]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[983]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[955]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[953]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[960]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[982]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[986]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[987]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[958]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[985]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[953]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[980]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[960]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[984]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[958]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[992]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[990]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[973]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[977]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[975]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[979]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[951]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[951]/D|
|                      clk |                      clk |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[978]/D|
